A,1,142,608
A,2,153,628
A,3,164,648
A,4,174,668
A,5,183,688
A,6,192,708
A,7,199,728
A,8,207,748
A,9,213,768
A,10,219,788
A,11,224,808
A,12,228,828
A,13,232,848
A,14,235,868
A,15,237,888
A,16,239,908
A,17,240,928
A,18,241,948
A,19,241,1023
A,20,240,1043
A,21,239,1063
A,22,237,1083
A,23,235,1103
A,24,232,1123
A,25,228,1143
A,26,224,1163
A,27,219,1183
A,28,213,1203
A,29,207,1223
A,30,199,1243
A,31,192,1263
A,32,183,1283
A,33,174,1303
A,34,164,1323
A,35,153,1343
A,36,142,1363
B,1,170,588
B,2,182,608
B,3,193,628
B,4,204,648
B,5,214,668
B,6,223,688
B,7,232,708
B,8,239,728
B,9,247,748
B,10,253,768
B,11,259,788
B,12,264,808
B,13,268,828
B,14,272,848
B,15,275,868
B,16,277,888
B,17,279,908
B,18,280,928
B,19,281,948
B,20,281,1023
B,21,280,1043
B,22,279,1063
B,23,277,1083
B,24,275,1103
B,25,272,1123
B,26,268,1143
B,27,264,1163
B,28,259,1183
B,29,253,1203
B,30,247,1223
B,31,239,1243
B,32,232,1263
B,33,223,1283
B,34,214,1303
B,35,204,1323
B,36,193,1343
B,37,182,1363
B,38,170,1383
C,1,193,548
C,2,205,568
C,3,217,588
C,4,229,608
C,5,239,628
C,6,249,648
C,7,259,668
C,8,268,688
C,9,276,708
C,10,283,728
C,11,290,748
C,12,296,768
C,13,302,788
C,14,307,808
C,15,311,828
C,16,314,848
C,17,317,868
C,18,320,888
C,19,321,908
C,20,322,928
C,21,323,948
C,22,323,1023
C,23,322,1043
C,24,321,1063
C,25,320,1083
C,26,317,1103
C,27,314,1123
C,28,311,1143
C,29,307,1163
C,30,302,1183
C,31,296,1203
C,32,290,1223
C,33,283,1243
C,34,276,1263
C,35,268,1283
C,36,259,1303
C,37,249,1323
C,38,239,1343
C,39,229,1363
C,40,217,1383
C,41,205,1403
C,42,193,1423
D,1,241,548
D,2,252,568
D,3,264,588
D,4,274,608
D,5,284,628
D,6,294,648
D,7,303,668
D,8,311,688
D,9,319,708
D,10,326,728
D,11,332,748
D,12,338,768
D,13,343,788
D,14,348,808
D,15,352,828
D,16,355,848
D,17,358,868
D,18,360,888
D,19,361,908
D,20,362,928
D,21,363,948
D,22,363,1023
D,23,362,1043
D,24,361,1063
D,25,360,1083
D,26,358,1103
D,27,355,1123
D,28,352,1143
D,29,348,1163
D,30,343,1183
